KŚ AZS Politechniki Śląskiej Gliwice,AZSPS,kendo@kendo.gliwice.pl,AZSPS729448
"Bydgoskie Stowarzyszenie Kendo, Iaido i Jodo",BSKIiJ,kendo@kendo.bydgoszcz.pl,BSKIiJ838085
Klub Sportowy Bumeikan Katowice,Bumeikan,lukasz.machura@gmail.com,Bumeikan788870
Gdański Klub Kendo Bushido,Bushido,b.barylski@wp.pl,Bushido548846
Krakowski Klub Kendo i Iaido Doshinkan YMCA,Doshinkan,maciek.murzyniec@gmail.com,Doshinkan270089
Ryushinkai Wrocław,NAMI,Mateusz.niewiadomski@ryushinkai.pl,NAMI781987
Fundoshin Opole,Fundoshin,ostry108@wp.pl,Fundoshin373288
Furokan Gdańsk,Furokan,kendogdansk@gmail.com,Furokan822352
Uczniowski Klub Sportowy Wisła,Genryoku,genryokucup@tlen.pl,Genryoku632904
Podhalański Klub Sportowy Japońskich Sztuk Walk Honshitsu,Honshitsu,nt_rafal@wp.pl,Honshitsu454859
Jinbukan Częstochowa,Jinbukan,michal.knop84@gmail.com,Jinbukan120528
Stowarzyszenie Centrum Jujutsu Aikijujutsu Kobudo Kenkyukai,Kenkyukai,morishinkan@wp.pl,Kenkyukai503577
Stowarzyszenie Sportowe Kinsen,Kinsen,rzeg@wp.pl,Kinsen350249
Kendo Leszno,KL,kjakubowski72@gmail.com,KL315203
Krakowski Klub Szermierzy Koryukan,Koryukan,bahessel@wp.pl,Koryukan341718
Lubelskie Stowarzyszenie Kendo,LSK,kendolublin@gmail.com,LSK726250
"Poznanskie Stowarzyszenie Kendo,Iaido i Jodo Meishinkan",Meishinkan,info@meishinkan.pl,Meishinkan292600
Polskie Stowarzyszenie Iaido,PSI,dojo@iaido.org.pl,PSI602101
Klub Szermierki Japońskiej Renshudojo Bystra,Renshu,dojobystra@gmail.com,Renshu590555
Rzeszowskie Stowarzyszenie Kendo,RSK,krzysztof.malinowski@op.pl,RSK349483
Białostocki Klub Kendo Shiroyama,Shiroyama,kpmalicki@gmail.com,Shiroyama622171
Kendo Shodokan Olsztyn,Shodokan,kendo.olsztyn@gmail.com,Shodokan255670
Sopocki Klub Kendo,SKK,kendosopot@gmail.com,SKK824761
Krakowski Klub Japońskich Sztuk Walki Souryukan,Souryukan,souryudojo@gmail.com,Souryukan129673
Stowarzyszenie Centrum Tradycyjnych Sztuk Japońskich Tengukai,Tengukai,kendo.poznan@post.pl,Tengukai259012
Toruński Klub Kendo,TKK,torunkendo@gmail.com,TKK927265
Tonbo Kendo Warszawa,Tonbo,tonbowarszawa@gmail.com,Tonbo134015
Uczniowski Klub Sportowy Kendo Łódź,UKSŁ,lodz@kendo.pl,UKSŁ655426
Warszawskie Stowarzyszenie Kendo,WawSK,warszawa@kendo.pl,WawSK489385
Warszawski Klub Kendo,WKK,kontakt@kendo-warszawa.pl,WKK927653
Wrocławskie Stowarzyszenie Kendo,WroSK,kendowroc@audiobiel.pl,WroSK175391
Yokokan Katowice,Yokokan,yokokan.kendo@gmail.com,Yokokan692797
AZS Olsztyn Yotokukan,Yotokukan,mariubu@wp.pl,Yotokukan485085
Podlaskie Stowarzyszenie Japońskich Sztuk Walki Chobukan,Chobukan,chobukan@gmail.com,Chobukan282201
Klub Kendo Dragons,Dragons,juliangorski.wroclaw@gmail.com,Dragons591429
AZS Kendo Katowice,AZSKK,sudayev@wp.pl,AZSKK616780
